ID_Cliente,Saldo_Insoluto,Saldo_Vencido,Mora_Temprana,Castigos,Capital_Dispersado,Capital_Liquidado,Duración_Préstamo,Tasa_Interés,Estado_Préstamo
1,5745.07,232.15,0,62.92914696,23342.39267,14709.57962,30,10.48782215,0
2,4792.6,269.45,1,,,9024.139188,38,7.337818504,0
3,5971.53,240.26,0,185.6347243,16269.0512,10332.97431,38,12.61842141,0
4,7284.54,311.04,0,190.5216132,,13421.58801,34,,0
5,4648.77,419.72,0,196.9991881,17064.74017,7866.284645,32,12.45317212,1
6,4648.79,222.9,0,219.2602716,25954.35515,11155.5268,51,6.670327164,0
7,7368.82,400.08,0,199.9868399,11452.22177,9605.299079,25,9.662239359,0
8,6151.15,221.83,0,193.3302406,13920.16502,13520.90955,38,11.74071389,0
9,4295.79,215.24,0,265.4459155,17706.15258,63839.27555,21,64.0413666,0
10,29069.2,381.86,0,228.279804,15121.64391,15537.66789,12,10.70088863,0
11,21524.37,392.19,0,152.0598073,19791.63632,18845.10305,50,9.144743331,0
12,4301.41,385.14,,237.0336957,27072.6297,13908.23166,51,9.460151582,1
13,5362.94,168.42,0,226.2053502,13980.90777,8239.155723,30,7.915713321,1
14,2130.08,253.4,0,172.7363137,19268.16912,,37,12.9255601,1
15,2412.62,382.3,0,239.6069213,19958.74515,15730.43014,33,11.30260048,0
16,4156.57,304.15,0,192.1213699,18327.06876,12005.25211,33,9.641420834,1
17,3480.75,192.63,0,188.9163264,12107.87512,14291.87375,30,11.08787234,0
18,,345.83,0,187.5543441,16810.87239,16482.9352,42,9.779093863,0
19,3637.96,228.52,0,78.59409715,16825.81824,21494.29656,31,9.397312505,0
20,2881.54,479.45,1,173.6650334,23167.51978,35681.12654,41,8.48916904,0
21,7198.47,454.48,0,235.6586621,22097.89649,10443.94069,56,8.524162995,0
22,4661.34,360.41,0,198.8794379,12240.52125,14616.44568,41,10.76136509,0
23,5101.29,436.1,0,135.7406785,18064.31821,9869.128866,37,12.09507501,0
24,2862.88,1532.4,0,248.2315628,17498.72396,8299.248144,29,9.327193898,0
25,4183.43,376.54,1,185.069992,29773.47642,20893.09816,36,8.414325132,0
26,5166.38,447.77,0,138.9212255,21461.5659,10284.19332,16,11.90491182,0
27,3273.51,1622.75,0,310.3006231,14612.8079,45543.33252,54,10.15807697,0
28,5563.55,274.48,0,147.3413703,16116.01039,9833.327303,123,5.535463733,1
29,4099.04,129.54,0,243.9745756,18107.273,19886.97208,13,,0
30,4562.46,291.69,0,161.534295,21811.83788,11870.78257,35,10.93713414,1
31,4097.44,382.34,0,206.7913417,22424.60473,8764.727756,40,8.420533369,0
32,7778.42,394.56,0,154.8909518,21002.41321,11219.27145,52,10.10237627,0
33,4979.75,350.44,0,138.0347909,18951.17377,14783.23202,39,7.511513085,0
34,3413.43,245.87,1,226.1101272,19319.99838,19012.96948,47,9.17710662,0
35,6233.82,102.32,0,220.2645273,19355.15387,18634.95816,47,7.826191639,0
36,3168.73,250.48,0,257.2324722,55427.25257,11500.03947,46,7.536650407,0
37,,269.57,0,198.2809035,19693.54189,12609.94143,22,8.48271637,0
38,2060.49,268.71,0,311.0175897,17113.72972,,42,11.74526753,0
39,3007.72,361.86,0,213.4173334,11735.8489,19480.58039,19,10.8338777,0
40,5295.29,498.57,0,228.3387341,32089.41289,13866.98914,60,14.10364601,0
41,6107.7,,0,132.0785377,21556.51803,23359.0701,222,8.804475666,0
42,5257.05,278.33,0,169.2957842,20065.51629,12935.27104,29,12.03837684,0
43,4826.53,274.08,0,225.983985,18144.36005,,41,13.71641767,0
44,4548.34,312.44,1,195.7886119,23651.11229,11117.93376,24,12.23591853,1
45,2782.22,217.17,0,209.3841568,14188.4987,,17,12.27141184,1
46,,1560.1,1,159.1753122,18436.47854,13959.56327,47,10.24160052,0
47,4309.04,345.08,1,206.0973487,15239.14559,15313.91827,37,10.46298583,1
48,6585.68,1604.84,1,205.9272946,23607.81427,11707.88621,37,8.157798366,0
49,5515.43,345.75,0,140.978249,15866.29427,,38,4.655891463,0
50,2355.44,343.37,0,232.1274922,25506.63906,14194.8093,34,10.4087737,0
51,,122.81,1,114.9967527,19503.62306,,24,40.40479792,0
52,4422.38,363.69,0,209.211904,23872.45048,6461.073628,37,9.149832672,1
53,3984.62,232.9,0,288.2796347,21999.29442,17734.06924,38,8.34784586,0
54,5917.51,190.42,,234.0275269,25296.22417,11720.18744,46,10.64814395,0
55,6546.5,189.55,0,233.7149623,15324.11702,13787.46488,65,9.600787799,0
56,6396.92,343.35,0,155.1286663,24528.11592,14010.69134,12,12.51477425,1
57,3741.17,277.74,0,288.4531027,10687.05673,14930.51591,26,8.553622826,0
58,4536.18,131.8,0,268.8359047,20215.63381,15657.19495,39,10.36114925,0
59,5496.9,347.8,0,157.8204989,17270.39034,9129.310045,48,9.617792977,0
60,6463.32,156.04,0,176.2618379,12977.29308,16405.61322,40,9.411555279,0
61,4281.24,313.98,0,262.7328022,15532.38938,13451.39969,49,9.845988681,0
62,4721.51,323.85,0,289.8073689,16796.72137,19879.99345,37,13.04099331,0
63,3340.5,,0,136.7656982,19017.24159,93337.02804,32,11.68617448,0
64,3205.69,2390.84,0,149.8144615,17375.75174,20952.43274,54,9.087387959,0
65,6218.79,163.53,0,192.8106622,20400.12987,10777.35549,37,8.778489079,0
66,35171.8,294.75,0,91.44529853,15849.20842,20789.99251,1,8.435308148,1
67,,272.37,0,,17615.71149,15423.33539,26,10.2312934,1
68,6505.3,343.37,0,259.2871757,92773.34837,18105.84499,41,6.967654499,0
69,5542.45,321.57,0,128.0681492,,18034.71409,35,9.568950613,0
70,4032.32,264.75,0,206.3553482,121221.182,17065.74748,21,10.76413395,0
71,5542.09,255.91,1,170.9114648,24268.31504,10102.99153,27,8.549092275,0
72,7307.05,188.35,0,281.9972974,105937.0998,19297.8628,37,10.08130123,0
73,4946.26,398.79,0,171.5104069,22151.26508,16582.5533,21,10.53080036,0
74,7346.97,345.92,0,275.9496544,21559.33458,8371.115538,25,6.475609544,0
75,1070.38,391.78,0,170.1272465,18426.78912,12823.43739,37,10.41285691,0
76,6232.85,268.96,1,238.5587903,122514.5751,,7,9.082272745,0
77,5130.57,234.32,0,1062.986405,15427.59454,8582.067224,52,13.69496024,0
78,4551.49,192.17,0,193.0863667,9759.272658,18839.9591,35,51.98110858,0
79,5137.64,335.89,0,160.4735715,14792.55307,8342.819157,23,8.162190859,0
80,2018.65,196.02,0,216.1547711,27015.60408,9054.967672,24,6.365898171,0
81,4670.49,484.87,0,177.9732369,92614.17154,23902.00335,28,9.90087029,0
82,5535.67,169.24,0,165.5116888,21370.64503,12984.51389,36,12.61215095,0
83,,327.37,0,273.6361371,18630.24992,17959.47357,38,8.789870311,0
84,4222.59,456.69,0,1136.882557,22808.32664,20061.74191,34,10.62921199,0
85,,359.91,0,232.1819476,20353.56333,18483.96124,27,11.4805462,0
86,4247.36,317.57,0,180.4200741,19657.03995,15673.07779,36,11.37569827,0
87,6373.1,203.15,0,190.7010826,23068.89168,14832.31164,11,9.991905731,1
88,5493.13,161.82,0,187.5711666,17671.61031,17419.22857,21,8.683500109,1
89,4205.36,377.01,0,216.8619456,21860.38891,13989.01851,28,9.480656531,0
90,5769.9,450.61,0,232.0901726,19126.39169,18126.99116,20,7.8603626,1
91,5145.62,1280.58,0,198.4874315,19462.86873,13834.68486,33,8.114495494,0
92,6452.97,186.09,0,160.3677503,15907.0125,14345.08754,20,11.97945096,0
93,3946.92,54.18,0,238.0285229,94601.10877,23467.92055,57,10.67025354,0
94,4508.51,201.92,0,201.6701934,17293.78725,12838.24388,19,10.57525557,0
95,4411.84,288.63,0,127.9581811,25649.60089,15086.58625,271,42.82678864,0
96,2804.73,459.91,0,93.2352625,11579.64168,16937.53227,60,61.97292831,1
97,5444.18,367.31,0,214.8948588,24446.29946,17226.57056,60,9.535126494,0
