Area of Interest 1,Area of Interest 2,Area of Interest 3,Area of Interest 4,Area of Interest 5,Area of Interest 6,Area of Interest 7,Area of Interest 8,Area of Interest 9,Area of Interest 10,Area of Interest 11,Area of Interest 12,Area of Interest 13,Area of Interest 14,Area of Interest 15,Area of Interest 16,Area of Interest 17,Area of Interest 18,Area of Interest 19
software engineering,dbms,,,,,,,,,,,,,,,,,
dbms,,,,,,,,,,,,,,,,,,
information processing,multimedia mining,,,,,,,,,,,,,,,,,
nlp,information retrieval,question answering system,,,,,,,,,,,,,,,,
vlsi electronics dld database,,,,,,,,,,,,,,,,,,
software engineering,computer networks.,,,,,,,,,,,,,,,,,
human computer interaction,web development,software engineering,networking,,,,,,,,,,,,,,,
human computer interaction,web,,,,,,,,,,,,,,,,,
java programming,,,,,,,,,,,,,,,,,,
programming,,,,,,,,,,,,,,,,,,
object detection,object tracking,pattern recognition,human computer interaction,software engineering,data structures,algorithms,object oriented programming,,,,,,,,,,,
semantic web,machine learning,,,,,,,,,,,,,,,,,
semantic web,,,,,,,,,,,,,,,,,,
computer graphics,digital logic design,software engineering,operating systems,artificial intelligence,,,,,,,,,,,,,,
data structures,algorithms,programming,,,,,,,,,,,,,,,,
software engineering,theory of automata,formal languages,,,,,,,,,,,,,,,,
wireless sensor networks,manets,internet of things,,,,,,,,,,,,,,,,
machine learning,data mining,decision support system,business intelligence,big data analytics,outcome based education,,,,,,,,,,,,,
complex communication networks such as internet of things,online social networks,wireless sensor networks etc. biological networks modeling,simulation,agent-based computing.,,,,,,,,,,,,,,
mining data streams,ubiquitous data mining,intrusion detection,distributed data mining,machine learning,data mining,real-time system,publish,subscribe system,wireless sensor networks,active databases eca rules,,,,,,,,
software pipelining,chromatic scheduling,reliable computing,real-time systems,,,,,,,,,,,,,,,
system administration,research,development,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
wireless ad-hoc,sensor,vehicular,body area networks,,,,,,,,,,,,,,,
modelling,simulating change,business processes,software engineering for mobile applications.,,,,,,,,,,,,,,,
image processing,computer vision,information security,,,,,,,,,,,,,,,,
natural language processing (nlp),which falls under the broader category of artificial intelligence. dr. shahid is interested in building multilingual,bilingual,monolingual resources using supervised,unsupervised learning approaches. he is also interested in applications of machine learning approaches.,,,,,,,,,,,,,,
routing,medium access control,resource allocation,security related issues in: internet of things,cloud computing,wireless ad hoc networks (sensor networks,vehicular networks,cognitive radio networks,delay tolerant networks),smart grids. moreover,i am interested in applications of algorithmic game theory to various problems in wireless networks,global software development.,,,,,,,
mac protocol design,internet of things,,security issues in wireless communication systems,,,,,,,,,,,,,,,
collaborative systems,social network analysis,information privacy,,access control,,,,,,,,,,,,,,
formal methods (verification,modeling,,analysis) of large scale systems,such as cloud computing system,,,,,,,,,,,,,,
vehicular ad-hoc network,wireless sensor network,underwater wireless sensor network,cyber physical systems,software defined networking,information-centric networking.,,,,,,,,,,,,,
query processing in wireless sensor network,distributed spatial analysis,distributed computing using ad hoc wireless networks.,,,,,,,,,,,,,,,,
wireless sensor networks. she is interested in the design,performance evaluation of communication protocols for wireless ad hoc,sensor networks. she is also interested in information centric networks.,,,,,,,,,,,,,,,,
artificial intelligence,data mining,machine learning,software engineering,requirement engineering.,,,,,,,,,,,,,,
routing issues on wireless sensor networks or wireless body area networks.,,,,,,,,,,,,,,,,,,
computer security,application of cellular automata.,,,,,,,,,,,,,,,,,
object oriented programming,visual programming,software project management,model transformation.,,,,,,,,,,,,,,,
software project management,software engineering.,,,,,,,,,,,,,,,,,
smart health,big data analytics,recommendation systems,patent analysis,,social network analysis,,,,,,,,,,,,,
software process improvement,requirements engineering,software development outsourcing,,,,,,,,,,,,,,,,
interactive systems,human computer interaction,ubiquitous computing,multimodal interfaces.,,,,,,,,,,,,,,,
n hci in general,usability evaluation,user experience,,,,,,,,,,,,,,,,
underwater wireless sensor networks,energy management.,,,,,,,,,,,,,,,,,
natural language processing,machine learning,,text mining.,,,,,,,,,,,,,,,
secure,dependable software defined networks,man-at-the-end attacks plus human attacker attribution,profiling,large scale distributed systems (fog,edge,,cloud computing (cc),mobile cloud computing (mcc) etc.),remote data auditing,light weight cryptography,blockchain,cryptocurrency.,,,,,,
software testing,object oriented analysis,design,,formal methods,,,,,,,,,,,,,,
business intelligence,information system management,e-commerce.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
visual perception,computer vision,gpgpu,,,,,,,,,,,,,,,,
native simulation of mpsoc,virtualization,software performance estimation,binary translation,,,,,,,,,,,,,,,
parallel,distributed simulation,,,,,,,,,,,,,,,,,
question answering,credibility assessment,information retrieval,information processing,semantic web,,,,,,,,,,,,,,
energy efficiency in telecommunication networks,optical network optimization,,,,,,,,,,,,,,,,,
wireless networks,,,,,,,,,,,,,,,,,,
wireless sensor networks,iot,image encryption,compression,localization,,,,,,,,,,,,,,
human motion analysis,character animation,inertial based motion analysis,ubiquitous computing,robotics,,,,,,,,,,,,,,
localization in wireless sensor networks,soft computing techniques,,,,,,,,,,,,,,,,,
surgical robotics,mathematical modeling,fuzzy controllers,,,,,,,,,,,,,,,,
databases,information retrieval,,,,,,,,,,,,,,,,,
management,technology in general,,,,,,,,,,,,,,,,,
distributed computing,,,,,,,,,,,,,,,,,,
e-learning,big data,application development,,,,,,,,,,,,,,,,
machine learning,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
wireless sensor networks,data centre networking,software defined networking,,,,,,,,,,,,,,,,
pattern recognition,computer vision,machine learning,medical image analysis,,,,,,,,,,,,,,,
scientific,information visualization,comparative visualization,industrial ct (hec approved phd supervisor),,,,,,,,,,,,,,,
software enginneering,system modeling,analysis,formal verification,,,,,,,,,,,,,,,
software engineering,requirements engineering,software quality,software engineering education (e-learning),cybersecurity (governance,management,audit,data security,privacy),,,,,,,,,,
empirical software engineering,requirements engineering,usability engineering,global software development,agile development,software engineering education,,,,,,,,,,,,,
artificial intelligence,model base testing,,,,,,,,,,,,,,,,,
wireless networks,evolutionary computing,machine learning,,,,,,,,,,,,,,,,
