region,division,sucursal,ubicacion,Country,State,City,si_m_12,si_m_11,si_m_10,si_m_09,si_m_08,si_m_07,si_m_06,si_m_05,si_m_04,si_m_03,si_m_02,si_m_1,si_act,si_vnc_m_12,si_vnc_m_11,si_vnc_m_10,si_vnc_m_09,si_vnc_m_08,si_vnc_m_07,si_vnc_m_06,si_vnc_m_05,si_vnc_m_04,si_vnc_m_03,si_vnc_m_02,si_vnc_m_01,si_vnc_act,si_30_89_m_12,si_30_89_m_11,si_30_89_m_10,si_30_89_m_09,si_30_89_m_08,si_30_89_m_07,si_30_89_m_06,si_30_89_m_05,si_30_89_m_04,si_30_89_m_03,si_30_89_m_02,si_30_89_m_01,si_30_89_act,cst_m_23,cst_m_22,cst_m_21,cst_m_20,cst_m_19,cst_m_18,cst_m_17,cst_m_16,cst_m_15,cst_m_14,cst_m_13,cst_m_12,cst_m_11,cst_m_10,cst_m_09,cst_m_08,cst_m_07,cst_m_06,cst_m_05,cst_m_04,cst_m_03,cst_m_02,cst_m_01,cst_act,cd_m_12,cd_m_11,cd_m_10,cd_m_09,cd_m_08,cd_m_07,cd_m_06,cd_m_05,cd_m_04,cd_m_03,cd_m_02,cd_m_01,cd_act,pct_fpd_m_12,pct_fpd_m_11,pct_fpd_m_10,pct_fpd_m_09,pct_fpd_m_08,pct_fpd_m_07,pct_fpd_m_06,pct_fpd_m_05,pct_fpd_m_04,pct_fpd_m_03,pct_fpd_m_02,pct_fpd_m_01,pct_fpd_act,qts_ago_22,qts_sep_22,qts_oct_22,qts_nov_22,qts_dic_22,qts_ene_23,qts_feb_23,qts_mar_23,qts_abr_23,qts_may_23,qts_jun_23,qts_m_12,qts_m_11,qts_m_10,qts_m_09,qts_m_08,qts_m_07,qts_m_06,qts_m_05,qts_m_04,qts_m_03,qts_m_02,qts_m_01,qts_act
Nucleo Dos,Division Distrito Central,Campo Zaragoza,"19.41, -99.175",Mexico,Ciudad de México,Ciudad de México,26312114.5296,26919438.15919999,27292428.50919997,27382284.47799999,27347990.03159998,28730343.686399978,27977375.4132,27687904.814799987,28574413.2148,28825883.227599993,29144863.002799965,29825146.727999993,30794487.188000005,4210329.226,4132277.1084000003,3567850.6348,3690849.7967999997,3373522.3712000004,3708030.5439999998,3460804.132,3688139.4903999995,3928485.5096,4039731.632,3969162.0904,4193874.6240000003,4255332.845999999,2103664.434,1766126.5412,2002681.4367999998,2094861.0028,1966564.7315999998,2278276.3144,2392737.7655999996,2349383.8512,2652135.2572,2030416.1216,1962163.014,2479446.2852,2872969.0936000003,148000.9,184928.79000000004,366640.03,282465.9,367299.74,162130.3,362263.99000000005,472577.52999999997,350252.20999999996,490016.55,404229.24,986481.6199999999,646343.83,710627.4099999999,607937.0599999999,796941.03,453544.7,642815.3,514570.36,389611.69000000006,736431.0,630128.65,454572.98,740317.44,1366817.7799999998,1947463.81,1673478.79,1358893.48,1325394.4300000002,1587884.0699999998,1429908.2799999998,860735.9500000001,1713623.86,1634706.97,1578485.6099999999,1892106.9200000002,2141278.32,0.012345679012345678,0.029850746268656716,0.06976744186046512,0.043478260869565216,0.02531645569620253,0.02127659574468085,0.012195121951219513,0.01694915254237288,0.0,0.04,0.17551622418879054,0.060240963855421686,0.07216494845360824,92.48,7529.82,118448.43999999999,42731.399999999994,15974.82,8091.34,5744.099999999999,6334.729999999999,19811.269999999997,46467.24000000003,11505.710000000005,87267.73,7713.76,20009.26,92767.30999999998,34143.6,6568.35,93151.85,37364.73,4781.56,7592.88,74340.27,15520.210000000001,93744.58
Nucleo Dos,Division Distrito Central,Colinas GAM,"19.51, -99.12",Mexico,Ciudad de México,Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112899.9672,339534.964,582936.4572000001,638883.1695999999,798356.3948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241720.2768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106815.6,201483.71,218999.74000000002,46607.58,121292.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nucleo Dos,Division Distrito Central,Jardin Aragon A,"19.495, -99.11",Mexico,Ciudad de México,Ciudad de México,22640777.21319999,23753933.228800002,24600944.207999997,25076169.669999983,24984878.305599984,26008854.36959998,25943782.271199998,26331209.945599996,25924070.817600008,25968791.825600002,26290664.862399988,26279426.65919999,27722739.989599973,2786579.7692,3218249.1084000003,3274440.8920000005,2969664.497599999,2769260.895599999,3272117.613999999,3122195.1727999994,3484928.0724000004,3349749.5995999994,2910598.6752,2817758.0987999993,2674271.7532000006,2536486.2476,2165549.2176,1784942.6787999999,1512942.3784000003,1821155.0688000002,1830310.5284000002,1905845.0328000002,2236366.904,2154187.5335999997,1310022.9508,1101190.3928,1159321.8952,1425617.1592,1501203.8436,288111.39,512705.74000000005,463462.30000000005,306614.1,413247.64,127726.47,333704.82,437938.88999999996,424584.5900000001,347492.69999999995,249482.27,361393.56999999995,369043.62,405079.62000000005,631530.1399999999,682887.7100000001,445930.0200000001,492099.48000000004,359752.71,798636.2200000001,916362.63,411671.62,554335.19,299812.29000000004,1255084.45,1641270.4300000002,1515278.05,1486976.1900000002,888480.33,1273866.8399999999,1257835.34,1203212.6600000001,1128119.53,1510508.48,1334230.82,1328351.62,1863295.95,0.06896551724137931,0.03389830508474576,0.015625,0.04054054054054054,0.047619047619047616,0.0,0.017543859649122806,0.0392156862745098,0.022727272727272728,0.017857142857142856,0.029411764705882353,0.014705882352941176,0.056338028169014086,4723.799999999999,63601.93,410.1099999999998,30305.959999999995,-41850.55,51421.329999999994,26373.190000000002,75615.58,16049.620000000003,36261.95,11555.84,5344.22,49006.01999999999,60365.78,6221.110000000001,4638.62,9644.740000000002,9470.7,28591.26,33659.34,26106.43,13250.4,3128.7099999999996,32400.23
Nucleo Dos,Division Distrito Central,Lomas Zaragoza,"19.415, -99.18",Mexico,Ciudad de México,Ciudad de México,5100963.195999999,6022057.577199999,6587653.667599999,7263507.463199999,7708712.36719999,8331781.702399999,8747467.6852,9130990.714799996,9766678.704799991,10343896.471599998,11118925.631999979,11672131.494399998,12291049.228399983,190967.7412,701745.3316,579501.564,624072.0392,604671.5604,814473.9395999999,921921.86,1039312.1036,1007820.7488,1113476.9268,1086295.558,1163052.8656,1010118.6008000001,712258.5196,199656.9676,220619.5912,329059.63680000004,627883.0728000001,653922.9172,372790.71920000005,533483.9756,770617.9592,527996.0231999999,580518.6196,640346.5904,1004251.4635999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68514.52,0.0,0.0,129056.47,-27161.62,173300.43,20960.08,262013.34,58783.85,142381.53999999998,253058.18000000002,303338.11,103944.88,239829.01,882287.75,876146.1799999999,644471.75,722156.46,535757.04,527645.0700000001,728979.3,438233.96,794470.55,811918.3999999999,1192308.43,834586.46,825907.5,0.0,0.03773584905660377,0.07692307692307693,0.08695652173913043,0.13636363636363635,0.0,0.0,0.08333333333333333,0.041666666666666664,0.09375,0.025,0.09090909090909091,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.38,0.01,2213.41,1.57,363.15000000000003,1106.12,4527.400000000001,8943.560000000001,-6805.17,1009.0899999999999,8973.869999999999,297.31,0.0,3070.31,6603.06,877.1400000000001,1612.89
Nucleo Dos,Division Distrito Central,Los Arcos,"19.46, -99.145",Mexico,Ciudad de México,Ciudad de México,27971226.908799984,28830833.60359999,29217444.0584,29033064.05199998,29428900.58999998,30943825.949599966,29598313.85279998,30017862.711200006,29513453.80399996,30126940.519199997,30659800.449199997,30854346.1488,32298912.244799994,2668886.0344,2964129.2323999996,2866284.8408,2762705.2820000006,2605496.4947999995,2794049.4679999994,2461384.3808,2558384.5876,2401082.5123999994,2930532.0195999998,2737422.0760000004,2937797.5788,3275668.3476,1414685.7492000002,1513767.7748000002,1585269.5888,1422003.0984,1613287.8404,1531868.7516,1234912.6948000002,1823377.0019999999,2114256.9316,1769036.4463999998,2137341.916,1996011.0248,3150496.5335999997,641093.3800000001,664913.58,311464.04999999993,335973.26,451050.3500000001,230243.3,464231.12,492202.33,268821.67000000004,656498.4499999998,336047.23,277106.25,166314.6,424318.95,726180.68,155473.12,374968.93000000005,802714.93,437698.78,593342.42,254299.51000000004,718401.61,481226.17,155501.51,1567438.52,1560104.42,1314168.99,1184059.63,1228806.4,1718073.05,702962.2999999999,1500911.0499999998,1135758.94,1461897.7699999998,1859331.8499999999,1703971.59,1874067.62,0.0410958904109589,0.014492753623188406,0.043478260869565216,0.03260869565217391,0.038461538461538464,0.014925373134328358,0.03529411764705882,0.037037037037037035,0.020833333333333332,0.0273972602739726,0.022222222222222223,0.06578947368421052,0.033707865168539325,20990.1,70683.18000000001,24725.65,85956.06,45635.79,31962.369999999995,37424.29,17759.35,7334.6500000000015,12293.979999999998,74277.63,23709.94,4855.87,2835.63,10072.58,24835.21,9880.33,40455.479999999996,15677.27,1725.1400000000003,13966.609999999999,-409.53000000000003,29611.760000000002,11949.84
Nucleo Dos,Division Distrito Central,Pilares del Norte,"19.51, -99.13",Mexico,Ciudad de México,Ciudad de México,28896221.891999993,30397143.450799983,30710374.564399987,31364958.753999975,32138515.275199987,33887687.18119997,33501680.540399965,33667047.55639996,34365540.12719997,34830769.82399999,36079756.77319997,36982442.51319999,37584978.74959997,2262075.4076000005,2882069.6915999996,2797912.0703999996,2904149.5016,3032107.3244000003,2949507.1828,3005435.6763999998,3218083.2064,3359195.0199999996,3085558.74,3250747.638,3164673.8,3476743.4348,2645193.0684,2290626.216,2189599.5444,1782639.128,1879681.9568,2394058.708,2435356.4092,2147688.9828000003,1904970.1908000004,1580855.2427999997,2290697.6924,2137319.6975999996,2469507.6852,464565.08999999997,556691.75,469378.9,471748.80000000005,216856.54,219105.96,230924.93,299458.7,632244.98,305052.50999999995,176885.91999999998,117841.34,157207.93,800125.1700000002,456084.18999999994,146622.44,372467.7599999999,437357.84,427539.58,732493.21,702923.8999999999,453060.24000000005,429174.48999999993,546471.91,1468231.02,1844906.8800000001,1555232.52,1776401.2100000002,1513973.9900000002,1595503.1699999997,1353015.6800000002,1235979.71,1926228.1799999995,1885836.9499999997,2138039.02,1952580.4100000001,1714945.23,0.047619047619047616,0.039473684210526314,0.046875,0.06741573033707865,0.04819277108433735,0.05172413793103448,0.039473684210526314,0.014925373134328358,0.0,0.03125,0.11038961038961038,0.03896103896103896,0.0547945205479452,890.4100000000001,16726.47,104239.21999999999,80099.38,16162.8,88366.32999999997,1328.95,86474.73000000001,4864.76,7141.749999999999,28034.380000000005,79929.02000000002,19717.87,63052.62,75744.41999999998,54359.16,5012.0,86992.06,230695.72,20684.930000000004,61977.26,85541.96000000002,11918.08,31220.739999999998
Nucleo Dos,Division Distrito Central,Plaza Central,"19.44, -99.13",Mexico,Ciudad de México,Ciudad de México,4922825.810400001,5682313.515199998,6404036.451599992,7094194.325200002,7513128.318799999,8256765.091199999,8711870.2104,9354318.9256,9687163.354400003,10528076.211199999,11744839.407199994,12666774.819199981,13670937.575199991,464286.67,401098.0812,579490.9816,745912.7231999999,737559.5004000001,779740.2508000002,785649.738,579365.1736,457477.28320000006,486741.94680000003,753663.1896,843972.8420000001,902991.6207999999,481938.7484,575112.344,393110.6472,403678.1012,398187.77119999996,249163.50639999998,222954.7084,674247.0568,707375.1200000001,765914.0732000001,625122.2583999999,981254.7219999997,1227584.4495999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129154.57,245961.39,44636.38,142226.07,87392.47,63763.979999999996,133276.56,202023.52000000002,92723.29999999999,200297.63,275713.48,235789.8,30237.07,48103.590000000004,36989.49,700702.1599999999,871873.2000000001,741906.1799999999,740755.93,552475.56,728534.21,610514.58,800263.71,600113.6100000001,939884.78,1222808.9,1141477.55,856439.8400000002,0.02564102564102564,0.05555555555555555,0.0967741935483871,0.0,0.0,0.041666666666666664,0.07692307692307693,0.07142857142857142,0.0,0.0,0.1276595744680851,0.03636363636363636,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,77.9,130.25,20.030000000000005,341.2,54.16,216.85,1041.18,4902.129999999999,513.37,415.43,14610.19,3675.2200000000003,662.6199999999999,988.06,105.68,2603.15,1959.24,23955.829999999998
Nucleo Dos,Division Distrito Central,Residencia A,"19.44, -99.155",Mexico,Ciudad de México,Ciudad de México,25076733.462799955,25883293.786799982,27043058.82319997,27331007.13119998,27544192.01159998,28484424.68279999,28337444.074399993,28876254.975999977,29050323.57400001,29776664.009599984,30399028.61199995,30624592.80119997,31732423.754799984,2230362.926799999,2287697.5531999995,2393317.867599999,2639437.0392,2502925.0184000004,2447443.7939999998,2473407.0412,2513075.145599999,2280147.2504000003,2528440.0544000003,2638506.794,2578718.6864000005,2353863.25,1395764.8264000004,1385306.2307999998,1563817.7764,1455273.5359999996,1639467.5948,1776549.2040000001,1036698.56,1393371.7336,2018472.6316,1685692.2599999998,868858.4911999999,898993.1039999999,1512925.3576,360592.54,339201.88,324711.04000000004,454522.39,148574.94,267629.56,362449.04,354280.9,587773.5,509782.19,308103.61,888962.77,416922.85,338972.19,572179.4399999998,399554.42,468723.49000000005,336489.35,220440.12000000002,564933.02,451285.87000000005,451421.55,372387.31,287133.49,1093479.9400000002,1539395.83,1825915.6899999997,1251420.89,1359173.81,1221062.9900000002,1243342.4,1248042.71,1157694.76,1756046.15,1699944.78,1479925.66,1429419.1699999997,0.1044776119402985,0.03389830508474576,0.04819277108433735,0.05714285714285714,0.017543859649122806,0.07272727272727272,0.06557377049180328,0.015873015873015872,0.03125,0.06060606060606061,0.020618556701030927,0.04225352112676056,0.05063291139240506,38582.369999999995,1733.7099999999998,23638.529999999995,43373.21,7445.530000000001,27363.79,3667.0,3960.3099999999995,16845.079999999994,5818.159999999998,-154.7199999999999,13947.69,19091.56,2959.7299999999996,23204.900000000005,12051.349999999999,43606.329999999994,22336.079999999994,24265.91,49055.259999999995,2772.87,53736.06,16367.289999999997,44471.170000000006
Nucleo Dos,Division Distrito Central,Residencia B,"19.445, -99.16",Mexico,Ciudad de México,Ciudad de México,24812901.44839999,25420449.708399978,25686171.37239997,26258679.033999965,26028117.397599977,26404632.148799967,26002363.506399963,26084091.238399994,26802559.33119999,26970006.891600017,27579909.870400008,27766746.847999893,28592814.517199982,3224197.2824000004,3067334.4716,2665501.5252,2978028.554,2867632.7776,2626829.5903999996,3014433.8888,3095832.3596,2964338.4464000002,2579326.68,2859425.5048000007,2630938.8936000005,2684201.3943999996,2058488.7060000002,1883329.5083999997,1680592.6152000001,1638441.6460000002,1742145.998,2300889.0684,1547865.3716000002,1470655.8328,1388369.9479999996,1602532.2868,1783872.0036,1904746.6108,1471760.4148000004,499792.93000000005,77779.51999999999,312636.54000000004,166626.57,145145.96000000002,248605.1,290470.11,336150.99000000005,385940.16,280372.03,51521.11,565583.43,671112.78,488533.74000000005,265549.3199999999,422387.35,674455.62,251218.16000000003,448099.7700000001,760824.29,664207.75,154330.39,797227.2300000001,330974.75,1054958.24,1617908.7,1178750.55,1211066.11,651718.1599999999,902711.08,988310.45,935645.6000000001,1502347.32,1316890.03,1162272.6800000002,1460735.6099999999,1550674.5999999999,0.05172413793103448,0.02040816326530612,0.056818181818181816,0.06349206349206349,0.03571428571428571,0.0196078431372549,0.0,0.06,0.018518518518518517,0.05263157894736842,0.012048192771084338,0.075,0.0273972602739726,-1094.1599999999999,18852.210000000003,23172.539999999994,46456.03999999999,5604.6900000000005,12931.2,4598.860000000001,14210.380000000001,9797.03,69294.18000000001,12226.41,7152.949999999999,1821.45,55120.46,15022.48,5252.94,28372.980000000003,11610.1,17544.43,6873.160000000001,26340.98,16031.869999999999,6033.54,27077.949999999997
Nucleo Dos,Nucleo Avance,Avance 1,"19.4326, -99.1332",Mexico,Ciudad de México,Ciudad de México,0.0,0.0,117941.6612,508793.1768,656600.7336,1220916.2452,1411361.5864000001,1731871.838,1679551.0872,1669478.1036000003,2007328.2368,2159945.1811999995,2835039.9412000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29402.8208,29402.8208,29402.8208,44121.4436,99487.8164,169192.776,0.0,0.0,0.0,0.0,0.0,27249.246,29333.3832,0.0,13577.5424,67000.336,148181.0496,145714.6628,108096.98079999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41195.26,0.0,0.0,0.0,28265.88,0.0,0.0,111300.0,329011.58999999997,111548.93,392224.83,201100.0,289002.16000000003,0.0,0.0,274521.82999999996,217732.05000000002,673134.6000000001,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
