student.id,generation,educational.model,level,gender,age,max.degree.parents,father.education.complete,father.education.summary,mother.education.complete,mother.education.summary,parents.exatec,father.exatec,mother.exatec,tec.no.tec,foreign,zone.type,first.generation,school,program,region,PNA,admission.test,online.test,english.evaluation,admission.rubric,general.math.eval,retention,FTE,scholarship.perc,scholarship.type,loan.perc,total.scholarship.loan,school.cost,id.school.origin,socioeconomic.level,social.lag,average.first.period,failed.subject.first.period,dropped.subject.first.period,dropout.semester,physical.education,cultural.diffusion,student.society,total.life.activities,athletic.sports,art.culture,student.society.leadership,life.work.mentoring,wellness.activities
35260,AD16,0,Undergraduate,Female,19,No information,No information,No information,No information,No information,No,No,No,TEC,Local,No information,No information,EIC,IMT,RCS,"83,93",Does not apply ,0,6,,74.5,1,"1,08",0,No scholarship,0,0,High cost,School 5319,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
49405,AD18,0,Undergraduate,Female,18,PhD,Received PhD,PhD,Received master degree,Master degree,Yes,Yes,No,TEC,Local,No information,No,ECSG,LED,RM,"86,86",1201,0,7,,82,1,"1,08","0,9",Child of Professor/Employee/Director,0,"0,900001711",High cost,School 7371,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,1,1,0,0,0
106944,AD18,0,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Graduated from elementary or middle school,No degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RM,89,955,0,0,23,Does not apply,1,1,0,No scholarship,0,0,High cost,School 120,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,0,1,1,0,0
107183,AD19,1,High School,Male,16,Undergraduate degree,"Attended university, but did not graduate",No degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PTM,RM,96,1320,0,6,38,Does not apply,1,1,"0,4",Academic talent,0,"0,4",High cost,School 1098,No information,No information,"96,66666667",0,0,0,Does not apply,Does not apply,Does not apply,2,1,0,1,0,0
92225,AD18,0,Undergraduate,Male,19,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Local,No information,No,EN,LAF,RCM,"74,6",Does not apply ,0,7,,71,0,"1,08",0,No scholarship,0,0,High cost,School 5325,No information,No information,,,,4,Does not apply,Does not apply,Does not apply,2,1,0,0,1,0
118754,AD20,1,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCM,86,1170,0,5,24,Does not apply,1,1,"0,1",Traditional,0,"0,1",Medium high cost,School 187,No information,No information,"85,83333333",0,0,0,Does not apply,Does not apply,Does not apply,1,0,0,0,0,1
16875,AD18,0,Undergraduate,Female,18,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Local,No information,No,ECSG,LEF,RCM,"85,4",Does not apply ,0,7,,74,1,"1,08",0,Army/Navy scholarship,0,0,High cost,School 7351,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,3,0,0,1,1,1
30703,AD15,0,Undergraduate,M,18,No information,No information,No information,No information,No information,No information,No information,No information,TEC,Local,No information,No information,EIC,INT,RM,"85,4",Does not apply ,0,6,,77,1,"1,08","0,2",Traditional,0,"0,199995925",High cost,School 7359,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
47983,AD14,0,Undergraduate,Male,17,No information,No information,No information,No information,No information,No information,No information,No information,999,Local,No information,No information,EIC,IIS,RM,87,1385,0,4,12,60,1,"0,92","0,2",Traditional,"0,2","0,40005537",Medium high cost,School 8801,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
28411,AD14,0,High School,Male,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RM,89,1306,0,0,15,Does not apply,1,1,0,No scholarship,0,0,High cost,School 2649,No information,No information,,,,0,1,0,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
116451,AD18,0,High School,Male,15,Master degree,Received master degree,Master degree,Received master degree,Master degree,Yes,No,Yes,NO TEC,Yes: National,No information,Does not apply,High school,PBB,RCM,89,1343,0,0,38,Does not apply,1,1,0,No scholarship,0,0,Public,School 1983,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,1,1,0,0,0
73841,AD18,0,High School,Male,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RCS,"91,43",1414,0,0,40,Does not apply,1,1,"0,4",Academic talent,0,"0,4",Medium high cost,School 154,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
15741,AD14,0,High School,M,15,No information,No information,No information,No information,No information,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RCM,92,1517,0,0,24,Does not apply,1,1,"0,3",Academic talent,0,"0,299997305",High cost,School 1751,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
61880,AD18,0,High School,Male,15,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,Yes,Yes,No,NO TEC,Yes: Foreigner,No information,Does not apply,High school,PBB,RCS,86,1487,0,0,50,Does not apply,1,1,0,No scholarship,0,0,Not defined,School 4160,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,0,1,1,0,0
116690,AD19,1,High School,Female,15,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCM,85,1080,0,5,36,Does not apply,1,1,0,No scholarship,0,0,High cost,School 238,No information,No information,"84,5",0,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
110102,AD18,0,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,"Attended university, but did not graduate",No degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RCS,"94,33",1234,0,0,35,Does not apply,1,1,0,No scholarship,0,0,Public,School 920,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
117805,AD19,1,High School,Female,16,Master degree,Received master degree,Master degree,Received master degree,Master degree,Yes,Yes,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCM,85,1000,0,3,34,Does not apply,1,1,0,No scholarship,0,0,Medium cost,School 1561,Level 6,Low,"71,33333333",2,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
9343,AD17,0,Undergraduate,Female,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received technical or commercial degree,No degree,No,No,No,NO TEC,Local,No information,No,EIC,IID,RM,"92,37",1486,0,6,42,84,1,"0,75",0,No scholarship,0,0,Public,School 9485,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
115257,AD18,0,High School,Female,16,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,Yes,Yes,No,NO TEC,Local,No information,Does not apply,High school,PBB,RCM,"90,5",1211,0,0,40,Does not apply,1,1,"0,2",Traditional,0,"0,2",Medium high cost,School 233,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
26170,AD14,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No information,No information,No information,NO TEC,Local,No information,No information,EN,LMC,RCM,85,1337,0,6,10,72,1,"1,08",0,Traditional,"0,2","0,199978386",High cost,School 5369,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
33659,AD18,0,High School,Female,15,Master degree,Received undergraduate degree,Undergraduate degree,Received master degree,Master degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RM,"97,5",1436,0,0,40,Does not apply,1,1,"0,5",Academic talent,0,"0,5",High cost,School 1098,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,1,1,0,0,0
41577,AD20,1,High School,M,15,Master degree,"Attended university, but did not graduate",No degree,Received master degree,Master degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,DR,93,1170,0,5,34,Does not apply,1,1,"0,4",Sports talent,0,"0,4",High cost,School 2602,No information,No information,"91,5",0,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
