,Residence,Age,Class_Time,Class_Rating,Class_Medium,Self_Study_Time,Fitness_Time,Sleep_Time,Social_Media_Time,Social_Media_Platform,TV_Time,Meals_Number,Weight_Change,Health_Issue,Stress_Busters,Time_Utilized,Miss,More_Social_connection,Total_studying_time,Total_resting_time
0,Delhi-NCR,20,4,Poor,Laptop/Desktop,3,0,6,2,Others,0,3,2,NO,MUSIC,NO,TRAVELLING,YES,7,8
1,Delhi-NCR,20,3,Poor,Smartphone,2,1,6,5,Instagram,0,3,1,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,NO,5,12
2,Delhi-NCR,25,0,Poor,Smartphone,4,0,6,1,Youtube,0,1,1,YES,WORK,NO,SCHOOL/WORK,YES,4,8
3,Delhi-NCR,20,2,Poor,Smartphone,2,1,6,4,Instagram,0,3,0,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,YES,4,11
4,Outside Delhi-NCR,20,2,Poor,Tablet,1,1,9,5,Instagram,0,3,0,YES,ONLINE ACTIVITIES,NO,BEING OUTSIDE,YES,3,14
5,Delhi-NCR,25,3,Poor,Laptop/Desktop,4,1,8,2,Whatsapp,1,3,0,NO,ONLINE ACTIVITIES,NO,SOCIALIZE,NO,7,12
6,Outside Delhi-NCR,20,0,Poor,Laptop/Desktop,1,1,8,5,Instagram,3,3,1,YES,ONLINE ACTIVITIES,NO,SCHOOL/WORK,NO,2,14
7,Delhi-NCR,25,1,Poor,Laptop/Desktop,0,1,7,3,Instagram,1,2,0,YES,ONLINE ACTIVITIES,YES,BEING OUTSIDE,YES,2,12
8,Delhi-NCR,25,3,Poor,Laptop/Desktop,0,0,8,3,Instagram,0,3,0,YES,MUSIC,NO,SCHOOL/WORK,NO,3,11
9,Delhi-NCR,20,4,Poor,Laptop/Desktop,1,0,8,3,Instagram,0,3,2,NO,ONLINE ACTIVITIES,NO,BEING OUTSIDE,NO,5,11
10,Delhi-NCR,25,3,Poor,Smartphone,3,1,6,2,Instagram,1,3,0,NO,INDOOR ACTIVITIES,YES,BEING OUTSIDE,YES,6,10
11,Delhi-NCR,20,1,Poor,Smartphone,2,1,8,1,Youtube,0,3,2,NO,MUSIC,NO,BEING OUTSIDE,NO,3,10
12,Delhi-NCR,25,0,Poor,Laptop/Desktop,4,0,7,5,Youtube,0,2,2,NO,READING,NO,SOCIALIZE,NO,4,12
13,Delhi-NCR,25,4,Poor,Smartphone,2,1,8,4,Instagram,0,3,0,NO,EXERCISE,YES,SOCIALIZE,YES,6,13
14,Delhi-NCR,25,4,Poor,Laptop/Desktop,2,1,9,5,Instagram,2,3,2,NO,SOCIALIZE,YES,SCHOOL/WORK,NO,6,14
15,Delhi-NCR,25,4,Poor,Smartphone,1,0,8,5,Instagram,1,4,1,NO,ONLINE ACTIVITIES,NO,SCHOOL/WORK,YES,5,14
16,Delhi-NCR,25,4,Poor,Laptop/Desktop,2,1,7,1,Others,0,3,1,NO,EXERCISE,YES,TRAVELLING,YES,6,9
17,Delhi-NCR,20,3,Poor,Smartphone,4,2,9,2,Instagram,1,3,1,NO,READING,YES,SCHOOL/WORK,NO,7,14
18,Delhi-NCR,20,4,Poor,Smartphone,2,0,9,5,Others,3,2,0,NO,SOCIALIZE,YES,BEING OUTSIDE,YES,6,14
19,Delhi-NCR,25,4,Poor,Laptop/Desktop,4,0,8,3,Instagram,0,2,0,YES,MUSIC,NO,SCHOOL/WORK,YES,8,11
20,Delhi-NCR,20,3,Poor,Laptop/Desktop,4,0,9,2,Whatsapp,0,2,2,NO,MUSIC,NO,BEING OUTSIDE,NO,7,11
21,Delhi-NCR,30,4,Poor,Laptop/Desktop,4,1,6,2,Others,0,3,2,NO,MUSIC,YES,SCHOOL/WORK,YES,8,9
22,Delhi-NCR,25,4,Poor,Smartphone,4,1,6,3,Youtube,0,4,2,NO,OTHERS,NO,SOCIALIZE,NO,8,10
23,Delhi-NCR,20,4,Poor,Smartphone,4,1,7,2,Whatsapp,1,2,1,YES,MUSIC,YES,BEING OUTSIDE,YES,8,11
24,Delhi-NCR,25,4,Poor,Laptop/Desktop,1,0,6,2,Others,0,3,1,YES,ONLINE ACTIVITIES,YES,SOCIALIZE,YES,5,8
25,Outside Delhi-NCR,25,4,Poor,Smartphone,2,1,8,3,Instagram,1,3,2,NO,INDOOR ACTIVITIES,NO,SOCIALIZE,YES,6,13
26,Delhi-NCR,20,4,Poor,Laptop/Desktop,1,1,7,1,Instagram,0,3,1,NO,READING,NO,TRAVELLING,YES,5,9
27,Outside Delhi-NCR,20,4,Poor,Laptop/Desktop,2,0,8,2,Instagram,0,3,0,NO,REST,NO,BEING OUTSIDE,YES,6,10
28,Outside Delhi-NCR,25,1,Poor,Smartphone,2,1,8,2,Others,2,3,0,NO,MUSIC,NO,SCHOOL/WORK,YES,3,13
29,Outside Delhi-NCR,25,0,Poor,Laptop/Desktop,0,0,9,5,Youtube,1,4,2,NO,ONLINE ACTIVITIES,YES,TRAVELLING,NO,2,14
30,Delhi-NCR,20,4,Poor,Smartphone,2,1,8,2,Whatsapp,2,4,2,YES,MUSIC,NO,BEING OUTSIDE,NO,6,13
31,Delhi-NCR,25,4,Poor,Laptop/Desktop,3,1,8,1,Instagram,0,2,0,NO,MUSIC,NO,BEING OUTSIDE,NO,7,10
32,Delhi-NCR,20,2,Poor,Smartphone,2,3,9,1,Others,0,4,2,NO,REST,NO,SOCIALIZE,NO,4,13
33,Delhi-NCR,25,3,Poor,Laptop/Desktop,2,0,8,1,Instagram,0,4,0,NO,INDOOR ACTIVITIES,NO,BEING OUTSIDE,YES,5,9
34,Delhi-NCR,20,2,Poor,Smartphone,4,2,7,1,Instagram,3,4,1,NO,MUSIC,YES,BEING OUTSIDE,NO,6,13
35,Delhi-NCR,20,2,Poor,Smartphone,3,0,6,2,Youtube,0,3,1,YES,READING,NO,SCHOOL/WORK,NO,5,8
36,Delhi-NCR,25,3,Poor,Laptop/Desktop,4,2,8,2,Others,0,4,0,NO,MUSIC,YES,TRAVELLING,YES,7,12
37,Delhi-NCR,20,0,Poor,Smartphone,1,0,8,2,Youtube,2,3,2,YES,INDOOR ACTIVITIES,NO,SCHOOL/WORK,YES,2,12
38,Delhi-NCR,20,4,Poor,Laptop/Desktop,4,1,7,2,Whatsapp,0,3,2,NO,READING,NO,BEING OUTSIDE,YES,8,10
39,Delhi-NCR,25,3,Poor,Laptop/Desktop,4,0,6,1,Youtube,0,3,0,NO,INDOOR ACTIVITIES,NO,SOCIALIZE,NO,7,8
40,Delhi-NCR,20,0,Poor,Smartphone,2,2,9,1,Instagram,0,4,2,NO,READING,YES,BEING OUTSIDE,YES,2,12
41,Delhi-NCR,25,4,Poor,Smartphone,4,1,8,2,Youtube,2,4,2,NO,REST,YES,BEING OUTSIDE,YES,8,13
42,Delhi-NCR,20,4,Poor,Smartphone,2,0,7,1,Whatsapp,0,3,0,YES,ONLINE ACTIVITIES,YES,BEING OUTSIDE,YES,6,8
43,Delhi-NCR,20,2,Poor,Smartphone,2,2,8,1,Youtube,0,4,0,NO,MUSIC,NO,SOCIALIZE,YES,4,11
44,Delhi-NCR,20,1,Poor,Smartphone,4,0,8,5,Youtube,2,3,0,NO,ONLINE ACTIVITIES,YES,SCHOOL/WORK,YES,5,14
45,Delhi-NCR,20,4,Poor,Laptop/Desktop,1,1,7,1,Whatsapp,0,3,0,YES,MUSIC,NO,SCHOOL/WORK,YES,5,9
46,Delhi-NCR,25,0,Poor,Smartphone,4,0,8,1,Instagram,1,3,2,NO,INDOOR ACTIVITIES,YES,BEING OUTSIDE,NO,4,10
