Age,Class_Time,Self_Study_Time,Fitness_Time,Sleep_Time,Social_Media_Time,TV_Time,Meals_Number,Weight_Change,Total_studying_time,Total_resting_time,Miss_ALL,Miss_BEING OUTSIDE,Miss_NOTHING,Miss_SCHOOL/WORK,Miss_SOCIALIZE,Miss_TRAVELLING,Residence_Delhi-NCR,Residence_Outside Delhi-NCR,Medium_Any Gadget,Medium_Laptop/Desktop,Medium_Smartphone,Medium_Tablet,Social_Media_Instagram,Social_Media_Others,Social_Media_Whatsapp,Social_Media_Youtube,rating,Health_issue,Stress_Busters_ART,Stress_Busters_EXERCISE,Stress_Busters_INDOOR ACTIVITIES,Stress_Busters_MUSIC,Stress_Busters_NO ACTIVITIES,Stress_Busters_ONLINE ACTIVITIES,Stress_Busters_OTHERS,Stress_Busters_READING,Stress_Busters_REST,Stress_Busters_SOCIALIZE,Stress_Busters_WORK,Stress_Busters_WRITING,Time_utilized,More_social_connection
20,4,3,0,6,2,0,3,2,7,8,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,0,0,False,False,False,True,False,False,False,False,False,False,False,False,0,1
20,3,2,1,6,5,0,3,1,5,12,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,0,0,False,False,False,False,False,True,False,False,False,False,False,False,0,0
25,0,4,0,6,1,0,1,1,4,8,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,0,1,False,False,False,False,False,False,False,False,False,False,True,False,0,1
20,2,2,1,6,4,0,3,0,4,11,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,0,0,False,False,False,False,False,True,False,False,False,False,False,False,0,1
20,2,1,1,9,5,0,3,0,3,14,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,0,1,False,False,False,False,False,True,False,False,False,False,False,False,0,1
25,3,4,1,8,2,1,3,0,7,12,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0,0,False,False,False,False,False,True,False,False,False,False,False,False,0,0
20,0,1,1,8,5,3,3,1,2,14,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,0,1,False,False,False,False,False,True,False,False,False,False,False,False,0,0
25,1,0,1,7,3,1,2,0,2,12,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,0,1,False,False,False,False,False,True,False,False,False,False,False,False,1,1
25,3,0,0,8,3,0,3,0,3,11,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,0,1,False,False,False,True,False,False,False,False,False,False,False,False,0,0
20,4,1,0,8,3,0,3,2,5,11,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,False,True,False,False,False,False,False,False,0,0
25,3,3,1,6,2,1,3,0,6,10,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,0,0,False,False,True,False,False,False,False,False,False,False,False,False,1,1
20,1,2,1,8,1,0,3,2,3,10,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0,0,False,False,False,True,False,False,False,False,False,False,False,False,0,0
25,0,4,0,7,5,0,2,2,4,12,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,0,0,False,False,False,False,False,False,False,True,False,False,False,False,0,0
25,4,2,1,8,4,0,3,0,6,13,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,0,0,False,True,False,False,False,False,False,False,False,False,False,False,1,1
25,4,2,1,9,5,2,3,2,6,14,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,1,0
25,4,1,0,8,5,1,4,1,5,14,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,0,0,False,False,False,False,False,True,False,False,False,False,False,False,0,1
25,4,2,1,7,1,0,3,1,6,9,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,0,0,False,True,False,False,False,False,False,False,False,False,False,False,1,1
20,3,4,2,9,2,1,3,1,7,14,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,0,0,False,False,False,False,False,False,False,True,False,False,False,False,1,0
20,4,2,0,9,5,3,2,0,6,14,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,1,1
25,4,4,0,8,3,0,2,0,8,11,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,0,1,False,False,False,True,False,False,False,False,False,False,False,False,0,1
20,3,4,0,9,2,0,2,2,7,11,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0,0,False,False,False,True,False,False,False,False,False,False,False,False,0,0
30,4,4,1,6,2,0,3,2,8,9,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,0,0,False,False,False,True,False,False,False,False,False,False,False,False,1,1
25,4,4,1,6,3,0,4,2,8,10,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,0,0,False,False,False,False,False,False,True,False,False,False,False,False,0,0
20,4,4,1,7,2,1,2,1,8,11,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0,1,False,False,False,True,False,False,False,False,False,False,False,False,1,1
25,4,1,0,6,2,0,3,1,5,8,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,0,1,False,False,False,False,False,True,False,False,False,False,False,False,1,1
25,4,2,1,8,3,1,3,2,6,13,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,0,0,False,False,True,False,False,False,False,False,False,False,False,False,0,1
20,4,1,1,7,1,0,3,1,5,9,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,0,0,False,False,False,False,False,False,False,True,False,False,False,False,0,1
20,4,2,0,8,2,0,3,0,6,10,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,0,1
25,1,2,1,8,2,2,3,0,3,13,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,0,0,False,False,False,True,False,False,False,False,False,False,False,False,0,1
25,0,0,0,9,5,1,4,2,2,14,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,0,0,False,False,False,False,False,True,False,False,False,False,False,False,1,0
20,4,2,1,8,2,2,4,2,6,13,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0,1,False,False,False,True,False,False,False,False,False,False,False,False,0,0
25,4,3,1,8,1,0,2,0,7,10,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,0,0,False,False,False,True,False,False,False,False,False,False,False,False,0,0
20,2,2,3,9,1,0,4,2,4,13,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,0,0
25,3,2,0,8,1,0,4,0,5,9,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,0,0,False,False,True,False,False,False,False,False,False,False,False,False,0,1
20,2,4,2,7,1,3,4,1,6,13,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,0,0,False,False,False,True,False,False,False,False,False,False,False,False,1,0
20,2,3,0,6,2,0,3,1,5,8,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,0,1,False,False,False,False,False,False,False,True,False,False,False,False,0,0
25,3,4,2,8,2,0,4,0,7,12,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,0,0,False,False,False,True,False,False,False,False,False,False,False,False,1,1
