solicitud_id,aprobado,hit_buro_huella,malo,num_iq_u3m_pl_financieras,edad_cliente,porcentaje_cuentas_abiertas,num_iq_u3m,num_iq_u3m_tdc_banco,maxmop_u3m,saldo_actual_prest_personales,num_iq_u3m_prest_personales,ingreso_bruto,numero_ctas_atraso_prest_personales_u3m,numero_ctas_atraso_tdc_u3m,ctas_ab_u18m_tdc_banco,num_ctas_prest_pers,flag_prest_nomina,meses_cta_mas_antig,flag_fraude_prest_nomina,flag_fraude_hipotecario,flag_quebranto_prest_personal,entidad_federativa,tipo_suscripcion,footprint_status,footprint_antiguedad_uso_linea_celular,footprint_gasto_mensual_telefonia,footprint_actividad_usuario,footprint_cambio_sim_u3m,footprint_variable_37,footprint_gasto_ultimos_60_dias,footprint_score_fpd,footprint_rango_dispositivo,footprint_adopcion_tecno,footprint_score_incumplimiento,footprint_tasa_contactacion,footprint_calidad_telefonica,footprint_score_contactabilidad_entrante,footprint_score_contactabilidad_saliente,footprint_disciplina_tech,footprint_cluster_sucursales,region
1993059.0,1,11,0,0,61,0.3,1,0,2,900,1,5136.25,1,1,0,6,0,127,0,0,0,AGS,PREPAGO,-1,68,7,6,-1,20,7,358,5,-1,596,625,-1,3,3,87,1,Occidente
1993154.0,1,11,0,0,67,0.333333333,1,0,9,0,1,3473.37,0,0,0,2,0,70,0,0,0,EM,PREPAGO,-1,50,7,4,-1,20,7,430,5,-1,573,588,-1,3,2,39,1,
1993230.0,1,11,0,0,68,0.073170732,3,0,1,120542,1,29084.8,0,0,1,50,1,199,0,0,0,MOR,PREPAGO,-1,69,-1,2,-1,20,0,376,-1,-1,596,524,-1,1,0,-2,3,Centro
1993287.0,1,11,1,0,67,0.75,1,0,9,20856,1,4644.71,0,0,0,3,0,194,0,0,0,GTO,PREPAGO,-1,2,2,-1,-1,21,2,253,3,-1,528,293,-1,0,0,-2,1,Centro
1993439.0,1,11,0,1,64,0.147286822,7,0,9,1157657,2,29084.8,5,2,0,75,0,185,0,0,1,MOR,PREPAGO,-1,67,6,4,-1,17,6,510,-1,-1,567,617,-1,2,2,40,3,Centro
1993477.0,1,11,0,0,54,0.714285714,1,0,7,0,1,4295.7,0,0,0,0,0,316,0,0,0,NL,PREPAGO,-1,41,9,6,-1,11,11,408,-1,-1,578,626,-1,3,3,46,1,Noreste
1993534.0,1,11,1,4,63,0.3125,12,0,9,302875,5,26851.5,1,0,0,23,1,238,0,0,0,EM,PREPAGO,-1,40,5,5,-1,14,5,492,-1,-1,600,631,-1,2,2,57,3,
1993572.0,1,11,0,0,77,0.5,6,0,2,414671,1,27880.42,1,0,0,2,0,53,0,0,0,EM,PREPAGO,-1,79,6,5,-1,20,6,433,5,-1,657,638,-1,3,3,-2,1,
1993724.0,1,11,1,1,47,0.7,8,2,2,39124,2,6882.63,0,1,1,6,1,125,0,0,0,VER,PREPAGO,-1,44,3,4,-1,19,3,470,5,-1,578,599,-1,3,1,40,3,Noreste
1994123.0,1,11,0,0,72,0.351351351,1,0,7,251364,1,5877.08,1,0,0,18,0,136,0,0,0,COA,PREPAGO,-1,64,6,5,-1,21,6,438,5,-1,633,621,-1,3,2,65,1,Noreste
1994142.0,1,11,0,0,63,0.454545455,4,1,9,0,1,15318.75,0,1,0,0,0,240,0,0,0,TAM,MIXTO,1,77,-1,6,-1,20,7,433,6,-1,612,676,-1,3,3,-2,1,Noreste
1994199.0,1,11,0,1,73,1.0,3,0,1,0,2,3411.66,0,0,0,0,0,114,0,0,0,CDMX,PREPAGO,-1,53,6,3,-1,17,6,390,6,-1,589,611,-1,2,2,58,3,Centro
1994636.0,1,11,0,0,68,0.375,3,2,1,0,1,4622.63,0,0,0,2,0,243,0,0,0,JAL,PREPAGO,-1,66,6,5,-1,22,6,308,-1,-1,591,626,-1,3,3,58,3,Occidente
1994864.0,1,11,0,0,67,0.094339623,6,0,9,171984,1,5804.8,3,0,0,21,0,194,0,0,0,ZAC,PREPAGO,-1,20,3,4,-1,21,3,441,4,-1,536,579,-1,3,2,33,1,Occidente
1995491.0,1,11,0,1,67,1.0,3,0,9,0,2,2066.62,0,0,0,0,0,41,0,0,0,CHI,PREPAGO,-1,75,7,5,-1,21,7,487,-1,-1,591,605,-1,3,3,71,3,
1995738.0,1,11,1,2,35,0.428571429,18,0,1,118053,4,4607.07,0,0,1,4,0,121,0,0,0,CHS,PREPAGO,-1,34,5,5,-1,20,5,501,5,-1,534,597,-1,3,3,44,3,Noroeste
1995928.0,1,11,0,0,62,0.117647059,5,0,7,6752,2,4146.39,1,0,0,9,0,113,0,0,0,VER,PREPAGO,-1,63,6,3,-1,20,6,314,1,-1,564,611,-1,3,3,50,3,Noreste
1996080.0,1,11,0,0,56,0.625,3,0,9,21450,1,29037.4,2,1,0,29,0,231,0,0,0,OAX,MIXTO,1,80,-1,6,-1,20,7,508,5,-1,588,636,-1,3,3,-2,1,Sur-Sureste
1996194.0,1,11,0,0,62,0.151515152,3,1,9,152584,1,4386.45,0,0,0,24,0,161,0,0,0,CHI,PREPAGO,-1,44,4,5,-1,20,4,346,4,-1,548,599,-1,3,3,46,3,
1996232.0,1,11,0,0,58,0.666666667,7,0,9,377239,1,14100.0,1,3,0,5,0,198,0,0,0,DGO,MIXTO,1,36,-1,6,-1,20,9,412,4,-1,573,658,-1,3,3,-2,3,Centro
1996536.0,1,11,0,0,42,0.333333333,4,1,9,36695,1,6000.0,0,1,0,1,0,229,0,0,0,CHI,PREPAGO,-1,33,6,5,-1,20,6,396,-1,-1,556,595,-1,3,3,59,1,
1996555.0,1,11,0,0,61,0.571428571,1,0,9,394129,1,28334.4,0,0,0,6,0,264,0,0,0,BCS,PREPAGO,-1,48,2,3,-1,21,2,445,3,-1,561,580,-1,2,2,28,1,Noroeste
1996631.0,1,11,0,1,62,0.333333333,4,0,9,10176,2,4607.09,2,0,0,8,0,80,0,0,0,VER,PREPAGO,-1,63,6,5,-1,20,6,395,4,-1,572,610,-1,3,2,72,3,Noreste
1997543.0,1,11,0,0,60,0.074626866,6,2,9,35227,2,4466.44,1,0,0,29,1,263,0,0,0,CHI,PREPAGO,-1,37,-1,-1,-1,20,0,247,-1,-1,555,511,-1,0,0,-2,3,
1997714.0,1,11,0,1,46,0.333333333,7,1,1,48600,2,3950.91,0,0,0,2,0,233,0,0,0,JAL,PREPAGO,-1,42,8,6,-1,22,10,342,4,-1,543,599,-1,3,3,43,3,Occidente
1997923.0,1,11,0,0,80,0.285714286,1,0,9,10034,0,5719.2,1,0,0,9,0,86,0,0,0,QRO,PREPAGO,-1,15,2,2,-1,19,2,359,2,-1,544,494,-1,1,1,-2,1,Centro
1998018.0,1,11,0,0,74,0.555555556,3,0,1,0,1,3947.77,0,0,0,2,1,76,0,0,0,CDMX,POSPAGO,1,75,-1,5,-1,20,10,494,5,-1,627,676,-1,3,3,-3,3,Centro
1998075.0,1,11,0,2,56,0.194444444,7,1,9,48991,3,2545.81,1,0,0,28,0,110,0,0,0,CHI,PREPAGO,-1,62,5,5,-1,20,5,350,4,-1,591,607,-1,3,2,43,3,
1998208.0,1,11,0,0,63,0.0,2,0,9,15061,1,19659.52,0,1,0,16,0,80,0,0,0,NL,PREPAGO,-1,64,5,4,-1,24,5,413,4,-1,602,608,-1,3,3,33,1,Noreste
1998531.0,1,11,0,1,60,0.225806452,6,1,9,73577,2,5136.26,5,0,0,41,0,260,0,0,1,NL,PREPAGO,-1,41,5,4,-1,21,5,361,-1,-1,567,591,-1,3,3,47,1,Noreste
1998816.0,1,11,0,0,62,0.5,1,0,9,12299,1,4160.21,2,1,0,5,0,361,0,0,0,CHI,PREPAGO,-1,64,2,3,-1,19,2,387,3,-1,581,595,-1,3,2,64,3,
1999443.0,1,11,0,0,79,0.333333333,0,0,2,10768,0,3758.17,1,0,0,3,0,24,0,0,0,SON,MIXTO,1,42,-1,4,-1,20,7,423,4,-1,581,628,-1,3,2,-2,1,Noroeste
1999500.0,1,11,0,1,68,0.084745763,6,0,9,319359,2,3444.36,5,0,0,88,0,216,0,0,1,GRO,PREPAGO,-1,53,6,5,-1,20,6,441,-1,-1,449,600,-1,3,3,40,1,
1999785.0,1,11,1,0,62,0.636363636,15,1,9,200361,1,6522.17,1,0,0,3,1,239,0,0,0,EM,PREPAGO,-1,44,7,6,-1,22,7,510,9,-1,581,641,-1,3,3,50,3,
2000298.0,1,11,0,0,72,0.055555556,1,0,1,0,1,11941.55,0,0,0,8,0,198,0,0,0,SIN,PREPAGO,-1,50,-1,2,-1,20,0,407,4,-1,567,614,-1,2,0,-2,1,Noroeste
2000336.0,1,11,0,1,59,0.16,7,0,7,79313,2,6673.39,2,0,0,24,0,157,0,0,0,MICH,PREPAGO,-1,71,6,5,-1,20,6,374,5,-1,611,642,-1,3,3,90,3,Occidente
