year,price,transmission,mileage,fuelType,tax,mpg,engineSize
2017,12000,1,15944,5,150,57.7,1
2018,14000,2,9083,5,150,57.7,1
2017,13000,2,12456,5,150,57.7,1
2019,17500,2,10460,5,145,40.3,1.5
2019,16500,1,1482,5,145,48.7,1
2015,10500,2,35432,5,145,47.9,1.6
2019,22500,2,2029,5,145,50.4,1
2017,9000,2,13054,5,145,54.3,1.2
2019,25500,1,6894,1,145,42.2,2
2018,10000,2,48141,5,145,61.4,1
2018,11561,2,18803,5,145,56.5,1
2018,13500,2,12065,5,145,54.3,1
2017,11000,2,20978,5,0,65.7,1
2018,17999,3,9002,1,145,54.3,2
2018,18999,3,8970,1,145,58.9,1.5
2018,14399,2,12810,1,145,64.2,1.5
2019,17999,2,10428,1,145,38.2,2
2018,16899,2,14680,1,145,54.3,2
2017,10999,2,12427,5,20,62.8,1
2019,12500,2,25521,5,145,55.4,1
2018,9499,2,20400,5,145,55.4,1.1
2017,10500,2,24926,5,145,65.7,1
2017,8995,2,26163,5,145,65.7,1
2014,8995,2,59000,1,160,47.9,2
2014,6795,2,35299,5,0,65.7,1
2017,18499,2,13063,5,145,41.5,2
2018,11799,2,23800,1,145,68.9,1.5
2015,8299,2,25935,5,0,65.7,1
2018,12499,2,8700,5,145,58.9,1
2017,8699,2,25000,5,125,54.3,1.2
2016,7999,2,60730,1,0,78.5,1.5
2017,8991,2,18561,5,145,54.3,1.2
2019,18990,2,8400,5,145,60.1,1
2013,7236,2,39090,5,0,65.7,1
2018,15287,3,33149,1,145,58.9,1.5
2019,20000,2,24,1,145,65.7,2
2020,20000,2,558,5,145,53.3,1
2019,21378,2,3259,1,145,39.2,2
2018,9814,2,15100,5,145,65.7,1
2018,8261,2,25000,5,145,57.7,1.2
2017,8788,2,15612,5,145,65.7,1
2018,12251,2,8920,5,145,58.9,1
2017,16320,2,24803,1,145,60.1,2
2019,13140,2,7,5,145,48.7,1.1
2018,10491,3,43019,5,145,48.7,1
2016,13870,3,41607,1,145,54.3,2
2017,14960,2,23554,5,145,41.5,2
2019,13540,2,6923,5,145,58.9,1
2019,17970,2,10985,1,145,74.3,1.5
2017,9330,2,29617,1,20,68.9,1.5
2016,6000,2,47613,5,0,65.7,1
2019,8995,2,5122,5,145,43.5,1.2
2019,8495,2,32,5,145,48.7,1.2
2016,6395,2,31562,5,125,54.3,1.2
2019,14495,2,8131,5,145,58.9,1
2018,19995,1,24568,1,145,31.7,2
2017,18495,1,39605,1,145,54.3,2
2019,17995,2,11496,1,145,57.6,2
2013,5495,2,51271,5,30,54.3,1.2
2018,16995,1,7189,1,145,58.9,1.5
2018,16495,2,29428,1,145,54.3,1.5
2018,17998,2,12162,5,145,39.2,1.5
2014,7498,3,33023,5,160,44.1,1.6
2019,17498,2,2714,5,150,49.6,1
2017,17498,2,17051,1,150,56.5,2
2013,5998,2,44304,1,0,76.4,1.5
2019,17698,2,4844,5,145,34.4,1.5
2016,11000,2,31810,1,125,60.1,2
2017,8700,2,43081,5,145,44.8,1.5
2017,15300,2,47159,1,145,54.3,2
2013,7490,2,25000,5,0,65.7,1
2017,10760,2,29891,5,145,60.1,1
2019,18760,2,10237,5,145,39.2,1.5
2014,6360,2,48653,5,0,65.7,1
2014,6270,2,60888,5,0,65.7,1
2017,17920,1,15815,5,235,38.2,1.5
2013,4790,2,74128,5,0,65.7,1
2015,7830,2,50124,1,0,74.3,1.5
2015,6990,2,29851,1,0,76.4,1.5
2016,18640,2,24105,1,160,48.7,2
2015,6700,2,28935,5,30,54.3,1.2
2018,9498,2,30925,5,145,65.7,1
2018,13698,2,13418,5,145,58.9,1
2018,13298,2,13756,5,145,58.9,1
2015,14398,2,25175,1,145,54.3,2
2017,8998,2,21267,5,145,64.2,1.1
2019,12698,2,12130,5,145,56.5,1
2019,11998,2,17354,5,145,56.5,1
2019,13498,2,15822,5,145,58.9,1
2019,13498,2,10557,5,145,58.9,1
2016,9698,2,20786,5,20,61.4,1
2016,24995,2,7997,5,235,36.7,2.3
2017,9895,2,19079,5,145,65.7,1
2018,12995,2,14979,5,145,58.9,1
2015,9295,2,47904,1,125,56.5,1.6
2016,8495,2,24410,5,125,54.3,1.2
2019,13895,2,13600,5,145,58.9,1
2018,18298,2,21456,1,145,67.3,2
2015,9198,2,31512,1,0,74.3,1.5
2016,10798,2,11843,5,0,65.7,1
2016,8998,2,31373,5,0,65.7,1
2018,18498,2,7796,1,145,54.3,1.5
2017,13498,2,26597,1,145,54.3,2
2017,14998,2,15978,1,30,64.2,1.5
2017,13998,1,13265,5,240,38.2,1.5
2016,9998,2,20491,5,125,52.3,1
